ID,Age,Experience,Income,Pincode,Family,CCAvg,Education,Mortgage,Loanapproved,SecuritiesAccount,CDAccount,Online,CreditCard
740,32yrs,14,61.67,867337,5,1.21,Bachelors,39.51,1,1,1,0,0
741,56yrs,36,15.62,956374,5,0.48,Post Graduate,16.16,1,n/a,0,0,1
742,25yrs,6,5.18,876680,3,0.12,12th or less,5.27,1,n/a,0,1,0
743,39,19,15.43,529319,5,0.48,12th or less,18.52,1,0,0,0,0
744,32yrs,14,7.84,435904,0,0.21,Post Graduate,1.62,0,0,1,1,0
745,47yrs,25,44.78,274538,5,1.43,Post Graduate,34.79,1,0,0,0,1
746,37,17,34.86,923873,3,0.6,12th or less,6.94,1,1,1,0,1
747,63yrs 6 months,n/a,Rs 14 lacs,960558,5,0.05,Post Graduate,0.0,1,0,1,1,1
748,48yrs,28,10.5,149091,1,0.17,Post Graduate,8.6,1,1,0,0,1
749,60yrs,41,37.26,213607,5,0.89,Bachelors,40.02,1,1,0,1,1
750,42,24,27.57,739328,5,0.85,Post Graduate,10.21,1,1,0,1,1
751,30yrs,9,5.56,317079,12,0.16,12th or less,5.77,0,1,1,0,0
752,61yrs,40,46.72,424613,3,0.38,Bachelors,40.65,1,0,1,0,0
753,26,8,14.11,292547,4,0.3,Post Graduate,4.99,0,1,1,0,0
754,37yrs 1 months,19,38.5,495099,4,0.36,12th or less,9.92,0,0,1,0,1
755,32,12,42.69,623502,5,1.25,Bachelors,28.65,1,0,0,1,1
756,26,4,Rs 21 lacs,752618,3,0.05,12th or less,0.0,0,0,0,1,0
757,63yrs 3 months,45,35.86,590225,5,0.95,Post Graduate,25.94,1,1,1,0,0
758,42yrs,,21.07,111310,1,0.57,Post Graduate,15.86,1,0,1,1,1
759,36yrs,15,10.88,726195,0,0.24,12th or less,9.32,0,0,0,1,1
760,24yrs,3,54.73,717161,3,1.21,12th or less,58.24,1,0,0,1,0
761,45,27,27.0,889314,5,0.68,Bachelors,27.87,1,0,1,0,1
762,53yrs,33,unemployed,727618,4,0.05,Bachelors,0.0,1,0,0,1,0
763,21,,unemployed,970650,5,0.05,Post Graduate,0.0,0,1,1,0,0
764,35,16,23.9,334509,0,0.35,Bachelors,12.23,1,1,0,0,1
765,37yrs,15,13.35,778906,3,0.41,Bachelors,8.07,0,0,1,1,0
766,63yrs,43,9.57,671177,3,0.1,Post Graduate,5.3,1,0,0,0,0
767,39,19,n/a,807185,0,0.05,Bachelors,0.0,1,1,0,1,0
768,39yrs,19,22.86,533769,2,0.64,12th or less,21.73,0,1,1,0,1
769,40yrs 11 months,20,73.45,511418,5,2.2,Bachelors,86.37,1,0,0,1,1
770,21,1,16.71,730282,2,0.23,Post Graduate,10.08,0,1,1,1,0
771,43,24,33.66,785183,4,0.24,Bachelors,16.23,1,0,0,0,0
772,36,16,41.09,688615,0,0.45,12th or less,40.91,1,1,0,1,1
773,44yrs 11 months,23,26.89,400602,4,0.27,Bachelors,20.62,1,1,0,0,1
774,40,19,33.24,747344,3,0.21,Bachelors,19.61,1,0,1,0,1
775,35,13,34.73,251078,3,0.69,Bachelors,6.83,0,0,0,1,0
776,44,26,48.77,362951,0,1.18,Bachelors,35.36,1,1,0,0,0
777,57yrs 5 months,35,40.82,555724,5,0.36,Bachelors,39.34,1,0,0,0,0
778,61yrs 8 months,40,24.96,867751,2,0.49,Post Graduate,31.67,1,1,1,0,1
779,53yrs,34,n/a,882975,2,0.05,12th or less,0.0,1,0,1,0,0
780,52yrs,34,40.06,756530,2,0.26,Bachelors,13.52,1,1,1,1,1
781,51,32,6.1,708551,3,0.19,Bachelors,0.94,0,0,1,0,0
782,35,,10.08,864982,5,0.29,Post Graduate,13.141,0,1,0,0,1
783,21yrs,3,42.92,735091,4,0.83,Bachelors,34.34,0,1,1,0,1
784,32yrs,11,13.24,925609,1,0.29,Bachelors,6.4,1,n/a,1,1,0
785,55,35,30.46,111434,3,0.81,Bachelors,8.72,1,1,1,0,0
786,57yrs,35,Rs 27 lacs,159952,1,0.05,Post Graduate,0.0,1,0,0,0,1
787,50yrs 10 months,29,17.24,265041,0,0.41,12th or less,17.03,0,1,1,1,1
788,46yrs 6 months,n/a,18.98,306376,4,0.29,Post Graduate,9.07,1,1,0,1,0
789,31yrs 3 months,10,37.8,190902,2,0.84,12th or less,44.59,0,1,0,1,0
790,52yrs 4 months,31,7.46,406550,5,0.22,Bachelors,2.7,1,0,1,1,0
791,22,0,16.09,838693,5,0.35,12th or less,4.53,1,1,1,1,0
792,30yrs 2 months,9,12.99,426779,3,0.17,12th or less,10.25,0,1,0,1,0
793,42yrs,23,61.4,893796,1,1.0,Post Graduate,26.34,1,1,1,0,0
794,29yrs,n/a,11.88,709929,0,0.16,Post Graduate,6.0,0,0,0,1,0
795,50yrs,28,29.16,525514,4,0.88,Bachelors,14.74,1,n/a,1,0,0
796,45yrs,27,23.78,248825,0,0.66,Post Graduate,29.18,1,1,1,1,0
797,41yrs,23,28.97,586745,2,0.26,Post Graduate,18.2,0,0,0,1,1
798,38,17,Rs 20 lacs,858528,3,0.05,Bachelors,0.0,0,1,1,0,1
799,40yrs 11 months,19,16.35,104444,5,0.09,Bachelors,13.08,1,0,0,0,1
800,60yrs,,18.63,226287,3,0.46,Bachelors,10.67,1,0,1,0,0
801,36yrs,14,16.2,733697,4,0.4,Post Graduate,18.95,1,1,1,1,1
802,59,38,18.35,285921,0,0.15,12th or less,18.69,1,1,1,0,0
803,55,34,31.42,323896,1,0.61,Post Graduate,37.24,0,0,0,0,1
804,49yrs,31,Rs 75 lacs,229793,1,0.05,12th or less,0.0,1,1,0,1,1
805,50yrs,32,23.32,225828,5,0.74,Bachelors,9.88,0,1,0,1,1
806,23,1,unemployed,643286,3,0.05,Post Graduate,0.0,0,0,0,1,1
807,52yrs 5 months,30,8.23,217162,1,0.19,Bachelors,4.6,0,1,0,1,1
808,34yrs 5 months,14,Rs 7 lacs,421834,2,0.05,12th or less,0.0,0,0,0,1,1
809,46,25,33.55,828575,2,0.89,Post Graduate,36.62,1,1,1,0,0
810,25yrs 6 months,5,n/a,368500,3,0.05,Bachelors,0.0,1,0,1,1,0
811,48,,32.46,100442,5,1.07,Post Graduate,24.55,0,0,1,1,0
812,28,8,22.61,970491,5,0.54,12th or less,26.94,1,1,1,0,0
813,65yrs 11 months,43,53.21,879385,3,0.7,Post Graduate,37.39,1,0,1,1,0
814,53,35,Rs 14 lacs,633257,3,0.05,Bachelors,0.0,1,1,0,1,0
815,56,38,22.28,483897,3,0.32,Post Graduate,27.51,1,0,1,1,1
816,33yrs,14,23.4,700306,3,0.18,Bachelors,7.79,0,1,0,0,0
817,40yrs 1 months,22,22.4,456308,0,2.22,Bachelors,43.52,1,0,1,0,0
818,38,18,unemployed,347109,4,0.05,Bachelors,0.0,0,0,0,1,1
819,40yrs 10 months,21,17.57,472764,4,0.37,Bachelors,6.16,1,0,1,0,1
820,63,45,Rs 8 lacs,526266,5,0.05,Bachelors,0.0,1,0,0,1,0
821,53yrs,33,10.19,692155,3,0.29,12th or less,1.7,0,1,0,0,1
822,41yrs 6 months,20,24.04,627289,0,0.53,12th or less,26.74,1,0,0,0,1
823,44yrs,22,9.88,275129,1,0.05,Post Graduate,5.39,1,0,1,0,0
824,48,27,30.0,370326,2,0.67,Bachelors,36.92,0,1,1,0,0
825,25,6,18.91,747241,4,0.6,Post Graduate,12.63,0,0,1,0,0
826,50yrs 5 months,30,12.62,934050,2,0.13,Bachelors,14.74,0,0,0,0,0
827,63yrs,45,50.99,212419,0,1.39,Bachelors,27.93,1,0,1,1,1
828,44,25,39.16,538847,4,0.27,Bachelors,36.6,1,0,1,1,1
829,59yrs,37,27.8,861686,2,0.75,Bachelors,26.95,0,1,0,1,0
830,34,14,5.99,700374,2,0.3,12th or less,2.41,1,1,0,0,0
831,56yrs,36,95.27,774820,4,2.64,12th or less,45.63,1,0,1,0,1
832,56,34,8.79,697639,3,0.25,12th or less,4.81,1,1,1,0,0
833,46yrs,24,27.47,154512,1,0.5,Post Graduate,24.44,1,0,1,1,1
834,33yrs,12,14.98,234868,5,0.37,Bachelors,3.02,1,0,0,1,0
835,60yrs,42,17.77,733274,5,0.56,Bachelors,14.53,0,1,1,1,0
836,41yrs 8 months,n/a,60.62,478409,3,0.99,Post Graduate,31.41,1,0,0,0,1
837,46,27,n/a,151142,0,0.05,Post Graduate,0.0,1,0,0,1,1
838,54yrs,36,77.75,389190,3,1.31,Bachelors,25.43,1,1,1,1,1
839,60,40,9.57,234061,2,0.08,Bachelors,3.3,1,0,0,0,1
840,34yrs,16,19.84,680843,0,0.18,Post Graduate,21.19,1,1,0,0,1
841,41,23,19.77,225504,5,0.58,12th or less,11.48,1,1,1,1,0
842,63,,n/a,976511,5,0.05,Bachelors,0.0,0,1,1,0,0
843,39yrs,,17.56,807547,3,0.56,Bachelors,18.18,0,1,1,1,0
844,32yrs,12,34.31,722203,0,0.62,12th or less,19.99,1,0,0,0,0
845,56yrs,34,n/a,231835,4,0.05,Bachelors,0.0,1,0,0,0,0
846,50,28,37.96,663728,5,0.47,12th or less,34.08,1,1,0,1,1
847,64yrs,44,13.54,561356,3,0.31,Bachelors,13.4,0,0,0,1,0
848,53,32,13.11,569398,4,0.31,Bachelors,5.72,1,1,1,1,1
849,64,46,12.13,565166,5,0.3,12th or less,14.45,1,1,0,1,1
850,43,22,22.35,387278,1,0.42,Post Graduate,20.64,1,1,0,0,0
851,61,43,33.27,730453,2,0.27,12th or less,16.9,1,0,1,0,0
852,33yrs 3 months,12,9.55,872695,5,0.06,12th or less,8.78,1,0,1,0,1
853,48,28,18.64,778630,0,0.18,12th or less,5.67,1,1,1,1,1
854,48yrs,29,12.29,252030,3,0.33,Bachelors,13.62,1,0,0,1,1
855,39yrs 9 months,20,22.56,384371,3,0.3,Bachelors,19.74,0,1,0,1,1
856,57,35,32.3,520716,1,0.79,12th or less,20.46,1,0,1,0,0
857,51yrs,30,19.9,780358,0,0.14,Post Graduate,23.82,1,1,0,0,1
858,62yrs 2 months,40,18.74,239142,5,0.1,Bachelors,16.73,0,0,0,0,0
859,59yrs,41,Rs 13 lacs,674263,4,0.05,12th or less,0.0,0,0,1,0,1
860,37yrs,15,35.9,372296,4,0.29,Post Graduate,19.04,1,0,1,1,1
861,48yrs 10 months,27,n/a,847340,2,0.05,Post Graduate,0.0,1,1,0,1,0
862,24yrs 11 months,3,6.4,897219,2,0.13,Bachelors,6.29,1,1,1,0,1
863,26,5,Rs 24 lacs,736908,3,0.05,Bachelors,0.0,1,1,0,1,1
864,39,21,23.15,930172,3,0.33,Bachelors,3.89,1,1,1,1,1
865,43yrs,21,24.12,579666,10,0.18,Bachelors,29.15,1,1,1,1,1
866,60,38,24.79,401830,0,0.37,12th or less,23.0,1,0,1,1,1
867,65yrs,43,29.98,882749,5,0.78,Post Graduate,11.91,0,1,1,1,1
868,62,40,18.19,521297,5,0.44,12th or less,22.4,1,0,1,0,0
869,26yrs 2 months,4,21.74,411843,2,0.57,12th or less,20.825,1,0,0,0,1
870,44yrs,24,20.82,613062,0,0.6,Post Graduate,6.31,1,0,0,0,1
871,42,22,18.42,699328,3,0.19,Post Graduate,13.24,0,n/a,1,1,1
872,41yrs 3 months,,36.26,688303,2,0.23,Bachelors,9.53,1,1,1,0,1
873,34yrs 7 months,13,42.55,904070,2,1.37,Bachelors,13.25,0,0,0,1,1
874,44,25,49.25,841531,1,0.4,Bachelors,11.54,1,0,1,0,1
875,45,26,13.4,189363,2,0.37,12th or less,6.53,0,1,1,1,1
876,37yrs,n/a,25.41,461144,0,0.42,Post Graduate,10.41,1,1,0,0,1
877,55yrs,37,11.61,744200,1,0.24,12th or less,3.38,1,0,0,1,1
878,37yrs,19,Rs 19 lacs,281726,5,0.05,Bachelors,0.0,1,0,1,0,1
879,48,28,13.88,143539,2,0.25,Bachelors,6.01,1,0,1,0,0
880,22yrs,1,21.79,177135,12,0.52,Bachelors,22.74,1,1,1,0,1
881,54,36,9.04,708373,1,0.22,Post Graduate,7.6,1,1,1,1,1
882,21yrs,0,34.82,572971,2,0.22,Bachelors,17.4,1,1,1,0,1
883,23yrs 2 months,1,27.07,568290,2,0.87,12th or less,13.51,0,1,1,0,1
884,42,22,23.12,739769,1,0.39,Bachelors,15.56,1,n/a,0,0,0
885,62,43,21.16,165646,5,0.26,Post Graduate,7.07,1,1,0,0,0
886,24yrs 1 months,4,unemployed,168940,3,0.05,Post Graduate,0.0,0,0,1,1,1
887,35yrs,13,35.68,193253,5,0.98,12th or less,37.41,0,1,1,0,1
888,56,38,6.17,880122,3,0.05,Bachelors,6.94,1,1,0,0,0
889,59yrs 3 months,37,Rs 28 lacs,300717,3,0.05,12th or less,0.0,0,0,0,0,0
890,32,10,51.74,921835,2,0.98,12th or less,39.53,1,1,0,1,0
891,57,36,25.54,222237,5,0.82,Bachelors,11.02,0,0,1,1,1
892,61,40,30.98,576312,4,0.66,Bachelors,30.37,1,0,1,1,0
893,27,8,17.16,235032,1,0.3,Post Graduate,12.68,0,0,0,1,1
894,51,33,91.15,428917,3,0.87,Post Graduate,86.42,1,0,1,1,1
895,25,6,34.88,375525,2,0.18,12th or less,38.29,1,0,0,1,1
896,47,28,18.13,371893,2,0.44,Post Graduate,10.82,1,0,0,1,0
897,45,24,39.81,266919,3,1.16,Bachelors,13.81,1,1,0,1,1
898,37,18,12.78,393667,5,0.42,Bachelors,7.23,1,1,0,1,1
899,48,29,15.38,807849,5,0.5,12th or less,9.7,1,0,1,1,1
900,47,26,14.23,156687,2,0.44,12th or less,4.11,1,0,0,1,1
901,46yrs 8 months,24,12.27,987078,2,0.33,Bachelors,5.43,1,1,1,0,0
902,49yrs,n/a,9.0,896893,3,0.11,Bachelors,8.94,1,0,0,1,0
903,47yrs,26,79.16,331281,5,0.83,12th or less,80.45,1,1,1,0,0
904,37,17,n/a,288830,0,0.05,12th or less,0.0,0,0,0,1,1
905,58yrs,36,47.73,831971,2,1.42,12th or less,22.92,1,0,1,0,0
906,36yrs,18,45.64,712062,4,1.02,Post Graduate,55.72,1,0,0,0,1
907,29yrs,8,22.77,629994,5,0.74,Post Graduate,28.27,1,0,1,0,0
908,52,32,34.04,305739,2,0.64,Bachelors,38.74,0,1,1,0,1
909,21yrs 2 months,2,20.9,918164,4,0.18,12th or less,9.78,0,1,0,1,1
910,29,10,46.41,419052,2,0.6,Post Graduate,49.49,0,0,0,0,1
911,27yrs,6,41.33,330224,0,1.28,Post Graduate,37.17,1,0,1,1,1
912,64yrs,45,27.36,682372,1,0.75,Bachelors,4.54,0,0,0,0,0
913,57yrs 3 months,36,26.43,812386,5,0.58,12th or less,23.04,0,0,0,1,1
914,60,42,unemployed,537581,4,0.05,Post Graduate,0.0,1,0,1,0,0
915,65,46,33.22,325185,0,0.56,Post Graduate,18.6,1,0,0,0,0
916,26,8,17.57,716971,2,0.43,12th or less,5.56,0,0,0,0,1
917,57yrs 10 months,36,17.5,191162,3,0.51,Bachelors,7.02,0,1,0,0,1
918,59,40,Rs 55 lacs,453499,0,0.05,12th or less,0.0,0,1,1,1,0
919,24,2,9.69,233062,4,0.27,Bachelors,5.25,1,n/a,0,0,0
920,57,36,n/a,157288,1,0.05,12th or less,0.0,1,1,1,1,1
921,30,n/a,18.94,424422,1,1.51,Post Graduate,4.19,1,1,1,0,0
922,30yrs 2 months,11,22.21,673024,4,0.27,12th or less,26.53,0,1,1,0,0
923,55,33,26.69,221929,3,0.59,Bachelors,28.02,1,0,1,1,1
924,28yrs 1 months,,20.3,895950,3,0.18,12th or less,4.33,1,0,0,0,1
925,43yrs 5 months,22,Rs 67 lacs,645571,3,0.05,Bachelors,0.0,1,1,0,1,0
926,27,6,22.2,696027,2,0.16,Bachelors,9.84,0,1,0,1,0
927,22yrs,1,40.48,911722,4,0.4,Post Graduate,15.52,1,1,0,1,1
928,58yrs,39,11.99,528717,1,0.19,Bachelors,9.25,1,0,0,0,1
929,40yrs 7 months,19,41.3,857626,3,0.98,Bachelors,36.19,0,0,1,1,1
930,51,29,18.85,289143,3,0.39,Bachelors,24.07,1,0,1,1,0
931,50yrs 8 months,28,Rs 27 lacs,763180,5,0.05,Bachelors,0.0,0,0,0,1,1
932,45yrs 4 months,24,33.14,217831,3,0.97,Bachelors,27.99,1,0,1,1,0
933,30yrs,9,20.43,293747,1,0.4,12th or less,5.58,1,1,1,1,1
934,37yrs,17,31.61,990257,1,0.96,Bachelors,24.27,1,1,1,0,0
935,29,10,16.6,955351,4,0.43,12th or less,10.62,0,1,0,0,0
936,63yrs 2 months,45,34.26,693875,4,0.68,12th or less,43.61,1,1,0,1,1
937,52,31,unemployed,725409,1,0.05,Post Graduate,0.0,1,1,1,1,0
938,44yrs,n/a,46.32,409023,4,1.06,Post Graduate,30.61,1,1,1,0,1
939,36,n/a,36.8,870154,0,1.05,Bachelors,43.33,1,0,0,1,0
940,32yrs 9 months,11,Rs 36 lacs,822436,2,0.05,12th or less,0.0,0,n/a,0,0,0
941,55yrs,37,33.08,510688,0,0.55,Post Graduate,20.76,0,1,0,1,1
942,63,41,15.4,102951,1,0.25,12th or less,13.39,1,0,0,0,1
943,37yrs,17,17.89,381324,0,0.25,Bachelors,11.23,0,1,1,0,1
944,49yrs,30,unemployed,887464,2,0.05,Bachelors,0.0,1,0,1,1,0
945,56yrs 3 months,36,22.2,679644,1,0.47,Bachelors,20.62,1,1,1,1,0
946,55,33,25.85,154036,0,0.14,Post Graduate,23.38,0,1,1,1,1
947,24yrs,4,20.06,749990,5,0.44,12th or less,6.09,1,1,0,0,1
948,27yrs 3 months,9,Rs 19 lacs,304667,3,0.05,12th or less,0.0,0,0,1,1,1
949,39yrs,21,55.96,610440,1,0.45,Bachelors,28.01,1,1,1,1,1
950,48yrs,30,8.62,386818,3,0.06,Bachelors,8.62,1,1,0,1,1
951,61yrs,41,10.56,155944,5,0.17,Bachelors,3.08,1,0,1,1,0
952,42yrs 2 months,22,30.03,141978,5,0.79,Bachelors,22.88,0,0,1,0,0
953,41yrs 8 months,23,8.26,602806,4,0.09,Bachelors,2.36,0,0,1,0,1
954,25,3,29.51,953710,5,0.71,Bachelors,30.33,1,1,1,1,1
955,65,44,Rs 16 lacs,799120,3,0.05,Post Graduate,0.0,0,0,0,1,1
956,52yrs 2 months,33,19.26,792714,4,0.61,12th or less,10.68,1,1,0,0,0
957,21,0,16.93,592657,3,0.18,Bachelors,12.17,0,0,1,1,0
958,40yrs,22,19.81,647679,2,0.32,Post Graduate,14.17,1,0,0,0,0
959,48yrs 8 months,26,108.37,960894,0,0.88,Bachelors,67.22,1,0,1,1,1
960,64,42,22.81,700302,2,0.29,Post Graduate,6.5,1,n/a,0,1,0
961,57,37,17.89,443518,5,0.11,Bachelors,17.73,0,0,0,0,0
962,32yrs,11,Rs 19 lacs,643868,2,0.05,Bachelors,0.0,1,1,1,0,1
963,38yrs 10 months,17,26.0,573299,0,0.21,Post Graduate,7.78,1,0,0,0,0
964,65yrs 10 months,46,50.78,873224,5,0.89,12th or less,57.97,1,0,0,1,1
965,25yrs,5,unemployed,159275,2,0.05,Bachelors,0.0,1,n/a,0,1,0
966,51yrs,30,30.14,672680,4,0.23,Bachelors,29.05,1,0,1,1,1
967,22yrs,1,9.39,152012,2,0.24,12th or less,8.47,1,0,0,1,0
968,65,46,30.82,363119,1,1.0,12th or less,35.32,0,0,0,0,0
969,29yrs,10,36.38,686807,3,0.33,Post Graduate,44.15,1,0,0,1,1
970,22yrs,0,52.56,189241,4,1.62,Bachelors,51.12,1,1,1,1,0
971,38yrs 5 months,17,n/a,288623,4,0.05,Bachelors,0.0,1,0,0,1,1
972,55,35,17.36,692973,4,0.56,Post Graduate,8.42,1,0,0,1,0
973,64yrs 11 months,,16.26,838879,0,0.13,Post Graduate,8.98,0,0,0,1,0
974,45yrs,27,Rs 20 lacs,968925,5,0.05,12th or less,0.0,1,0,0,0,0
975,36,14,65.72,229763,2,0.59,Post Graduate,31.61,1,0,0,1,0
976,61yrs,40,18.01,365880,0,0.19,Bachelors,20.12,1,0,1,1,1
977,64yrs 8 months,45,47.15,279417,4,1.48,Post Graduate,44.94,1,1,0,1,0
978,40,20,11.87,835252,0,0.11,12th or less,4.45,1,0,0,1,0
979,24yrs,5,35.91,845461,5,0.29,Bachelors,27.74,1,1,1,1,1
980,52,34,17.01,583274,5,0.25,Post Graduate,12.53,1,1,1,1,1
981,40yrs,22,30.06,825560,0,0.21,12th or less,5.3,1,1,0,0,0
982,59yrs 5 months,41,44.42,384599,1,0.25,12th or less,57.44,0,1,1,0,1
983,35yrs,15,34.48,365103,0,0.64,Bachelors,15.05,1,1,0,0,0
984,38yrs,n/a,12.17,837397,3,0.31,12th or less,10.863,1,0,1,0,0
985,27yrs,n/a,9.19,560728,3,0.15,12th or less,8.45,1,1,0,0,1
986,23,2,27.03,724795,1,0.28,Bachelors,34.47,1,1,1,1,0
987,28yrs,10,19.95,143506,1,0.19,Bachelors,24.44,1,1,1,1,0
988,49yrs,30,9.37,579021,4,0.16,12th or less,7.39,1,0,1,1,0
989,28,9,11.3,627645,4,0.16,Post Graduate,3.41,1,n/a,0,1,1
990,21yrs,n/a,Rs 11 lacs,950555,4,0.05,12th or less,0.0,0,1,0,0,0
991,63yrs,44,19.79,929941,5,0.18,12th or less,14.22,1,1,0,1,1
992,41yrs 8 months,23,Rs 36 lacs,557082,5,0.05,Bachelors,0.0,0,0,0,0,0
993,59yrs,37,19.31,473330,2,0.42,12th or less,14.73,1,0,1,0,0
994,65,43,13.31,216559,5,0.23,Post Graduate,5.66,1,1,0,0,1
995,22yrs 3 months,0,13.51,566380,1,0.28,12th or less,9.08,1,0,0,1,1
996,54yrs 2 months,35,42.72,394502,5,0.89,12th or less,30.88,1,0,0,0,0
997,41,,18.98,190161,1,0.46,12th or less,19.07,1,0,0,1,0
998,53yrs 10 months,33,24.01,600248,1,0.68,Post Graduate,15.44,1,0,1,1,0
999,59yrs 6 months,,Rs 18 lacs,408740,2,0.05,12th or less,0.0,0,1,0,0,1
1000,60,41,23.25,442473,5,0.35,Bachelors,8.54,1,1,1,0,0
1001,27yrs 7 months,6,15.48,455216,2,0.51,Post Graduate,3.47,1,0,1,1,1
1002,35,16,31.63,557337,0,0.57,Post Graduate,21.37,0,0,1,1,0
1003,29,11,34.32,696826,4,0.39,Post Graduate,16.4,0,1,0,1,1
1004,50yrs 10 months,28,16.88,976445,2,0.22,Post Graduate,15.64,1,0,1,1,1
1005,64yrs,44,35.81,197572,1,0.38,Post Graduate,30.2,0,1,1,0,0
1006,37yrs 7 months,16,46.91,278046,1,1.43,Bachelors,11.87,1,1,1,0,1
1007,58,37,25.36,799695,4,0.69,12th or less,18.7,0,n/a,1,1,1
1008,61yrs 11 months,40,21.14,307227,3,0.45,Bachelors,14.09,1,0,0,0,0
1009,59,n/a,29.72,424962,12,0.84,Bachelors,22.25,1,1,1,1,1
1010,41yrs 4 months,21,63.7,576853,2,0.83,Post Graduate,66.04,0,0,1,0,1
1011,23,2,40.7,313236,4,0.28,Post Graduate,52.28,0,1,1,0,0
1012,57yrs,39,44.08,423885,2,1.07,Post Graduate,18.96,1,1,0,1,0
1013,37,17,19.3,269815,5,0.22,Post Graduate,6.03,1,1,1,1,0
1014,37,19,28.78,329846,5,0.52,Bachelors,33.22,1,1,0,0,0
1015,31,10,17.28,352853,0,0.11,12th or less,2.96,1,0,0,0,1
1016,30yrs,12,51.31,518108,2,1.5,12th or less,14.21,1,1,1,0,0
1017,21yrs,,unemployed,486481,0,0.05,Bachelors,0.0,1,0,1,1,1
1018,30yrs,8,17.76,572856,4,0.5,Bachelors,16.66,0,0,1,0,0
1019,45,25,unemployed,505274,1,0.05,12th or less,0.0,1,0,1,1,1
1020,36,,17.64,368999,3,0.47,Bachelors,21.84,0,0,0,1,0
1021,58,39,18.63,519312,5,0.31,12th or less,9.59,1,0,0,0,0
1022,52,30,Rs 46 lacs,751995,4,0.05,12th or less,0.0,1,1,0,0,1
1023,45,26,7.36,343158,4,0.13,Post Graduate,1.97,1,1,0,0,0
1024,33yrs 8 months,14,32.45,749622,0,0.27,Post Graduate,17.37,1,1,1,0,1
1025,63yrs 1 months,45,24.17,288969,3,0.25,Bachelors,30.68,1,0,0,1,1
1026,36,14,39.71,790472,3,0.22,Bachelors,43.56,1,0,1,0,0
1027,61yrs,41,31.95,793518,2,0.82,12th or less,34.61,0,0,0,0,0
1028,40yrs 4 months,21,14.73,759132,2,0.34,12th or less,17.61,1,1,1,0,0
1029,48yrs,28,12.37,586990,4,0.36,12th or less,13.65,0,0,1,1,1
1030,28,10,52.65,565542,1,0.97,12th or less,29.71,1,0,1,0,1
1031,51,30,36.12,209825,3,4.42,12th or less,17.2,0,1,0,0,0
1032,48,29,25.89,246855,5,0.25,Bachelors,11.21,1,0,0,0,1
1033,49yrs 1 months,28,14.86,217298,2,0.41,Bachelors,5.77,1,0,0,1,0
1034,62yrs,44,11.07,349698,3,0.29,Bachelors,4.46,0,n/a,1,1,1
1035,54,32,35.04,329945,2,0.33,Post Graduate,16.57,0,1,0,1,1
1036,57yrs 8 months,37,unemployed,172846,3,0.05,Bachelors,0.0,0,1,1,1,1
1037,62,43,37.44,410331,3,0.79,12th or less,6.59,0,0,1,1,0
1038,40yrs 6 months,21,Rs 10 lacs,458771,2,0.05,Bachelors,0.0,1,0,0,1,1
1039,25,3,unemployed,982163,5,0.05,Bachelors,0.0,0,0,1,0,0
1040,47yrs 7 months,26,Rs 17 lacs,180445,4,0.05,Bachelors,0.0,1,1,0,0,1
1041,57yrs 11 months,36,unemployed,766946,3,0.05,Post Graduate,0.0,0,1,1,1,1
1042,57yrs 10 months,37,35.56,471484,2,0.29,Bachelors,44.46,1,0,1,1,1
1043,51,,unemployed,848914,1,0.05,Bachelors,0.0,1,1,1,0,1
1044,53yrs 3 months,32,9.01,924443,5,0.12,Bachelors,5.08,0,1,1,1,0
1045,52,34,41.2,788794,2,1.19,Post Graduate,28.05,1,0,1,0,0
1046,37yrs,18,36.0,552588,4,0.36,12th or less,29.77,0,0,1,0,1
1047,63,44,Rs 36 lacs,832878,1,0.05,Bachelors,0.0,1,0,1,0,1
1048,43,21,33.35,135245,5,0.38,Bachelors,7.33,1,1,0,0,0
1049,65yrs 9 months,43,115.23,225856,1,2.28,Post Graduate,131.11,1,1,0,1,0
1050,61yrs 9 months,43,18.54,385916,4,0.57,12th or less,11.74,0,0,1,0,0
1051,57,n/a,130.59,993174,0,3.56,12th or less,93.46,1,1,1,0,1
1052,37yrs 4 months,15,21.64,792951,3,0.29,Bachelors,11.22,1,1,0,0,1
1053,38yrs,16,Rs 12 lacs,176309,5,0.05,Bachelors,0.0,1,0,1,1,1
1054,34yrs,16,11.1,944272,4,0.17,Post Graduate,10.53,1,0,0,0,1
1055,36yrs 9 months,17,32.55,704214,5,0.15,12th or less,21.17,1,1,0,0,1
1056,44yrs,26,37.6,734655,2,1.15,Bachelors,43.4,0,0,1,1,1
1057,59,40,42.74,518154,1,0.32,12th or less,37.89,1,1,0,1,1
1058,23yrs,4,n/a,405964,2,0.05,12th or less,0.0,0,0,1,1,1
1059,33yrs,11,15.74,503293,3,0.3,12th or less,4.22,0,0,0,1,1
1060,59,37,26.97,877856,2,0.85,Post Graduate,25.72,1,0,0,1,1
1061,41yrs,21,24.95,261914,4,0.79,Bachelors,24.9,0,1,0,1,1
1062,39yrs 5 months,21,23.15,541984,0,0.29,12th or less,16.41,0,0,1,1,0
1063,36,15,16.63,937620,0,0.18,Post Graduate,4.58,1,1,0,1,0
1064,48yrs,27,116.86,850547,1,1.56,12th or less,93.1,1,0,0,1,1
1065,25yrs,5,Rs 31 lacs,726495,3,0.05,Post Graduate,0.0,1,0,0,1,0
