sentence,abbreviation,expansion
The DM indicated proximal‑weakness and heliotrope during evaluation.,DM,Dermatomyositis
Clinicians discussed proximal‑weakness and heliotrope when referring to DM.,DM,Dermatomyositis
proximal‑weakness was noted near the DM context along with myositis.,DM,Dermatomyositis
Assessment showed heliotrope; DM signified presence of CK.,DM,Dermatomyositis
Assessment showed heliotrope; DM signified presence of proximal‑weakness.,DM,Dermatomyositis
The DM indicated heliotrope and myositis during evaluation.,DM,Dermatomyositis
The DM indicated proximal‑weakness and heliotrope during evaluation.,DM,Dermatomyositis
Clinicians discussed CK and myositis when referring to DM.,DM,Dermatomyositis
Assessment showed myositis; DM signified presence of heliotrope.,DM,Dermatomyositis
Assessment showed proximal‑weakness; DM signified presence of myositis.,DM,Dermatomyositis
myositis was noted near the DM context along with CK.,DM,Dermatomyositis
The DM indicated heliotrope and myositis during evaluation.,DM,Dermatomyositis
heliotrope was noted near the DM context along with proximal‑weakness.,DM,Dermatomyositis
Assessment showed myositis; DM signified presence of proximal‑weakness.,DM,Dermatomyositis
Clinicians discussed proximal‑weakness and heliotrope when referring to DM.,DM,Dermatomyositis
Clinicians discussed proximal‑weakness and myositis when referring to DM.,DM,Dermatomyositis
proximal‑weakness was noted near the DM context along with CK.,DM,Dermatomyositis
Assessment showed CK; DM signified presence of heliotrope.,DM,Dermatomyositis
DM related findings such as heliotrope plus CK were documented.,DM,Dermatomyositis
The DM indicated heliotrope and myositis during evaluation.,DM,Dermatomyositis
DM related findings such as myositis plus proximal‑weakness were documented.,DM,Dermatomyositis
The DM indicated heliotrope and proximal‑weakness during evaluation.,DM,Dermatomyositis
The DM indicated myositis and proximal‑weakness during evaluation.,DM,Dermatomyositis
DM related findings such as myositis plus proximal‑weakness were documented.,DM,Dermatomyositis
heliotrope was noted near the DM context along with myositis.,DM,Dermatomyositis
proximal‑weakness was noted near the DM context along with myositis.,DM,Dermatomyositis
Clinicians discussed myositis and proximal‑weakness when referring to DM.,DM,Dermatomyositis
heliotrope was noted near the DM context along with myositis.,DM,Dermatomyositis
CK was noted near the DM context along with proximal‑weakness.,DM,Dermatomyositis
Clinicians discussed heliotrope and myositis when referring to DM.,DM,Dermatomyositis
heliotrope was noted near the DM context along with CK.,DM,Dermatomyositis
Clinicians discussed proximal‑weakness and CK when referring to DM.,DM,Dermatomyositis
DM related findings such as proximal‑weakness plus CK were documented.,DM,Dermatomyositis
Clinicians discussed CK and heliotrope when referring to DM.,DM,Dermatomyositis
Clinicians discussed CK and proximal‑weakness when referring to DM.,DM,Dermatomyositis
myositis was noted near the DM context along with heliotrope.,DM,Dermatomyositis
The DM indicated CK and myositis during evaluation.,DM,Dermatomyositis
proximal‑weakness was noted near the DM context along with myositis.,DM,Dermatomyositis
Assessment showed proximal‑weakness; DM signified presence of myositis.,DM,Dermatomyositis
myositis was noted near the DM context along with heliotrope.,DM,Dermatomyositis
Clinicians discussed proximal‑weakness and heliotrope when referring to DM.,DM,Dermatomyositis
Clinicians discussed myositis and proximal‑weakness when referring to DM.,DM,Dermatomyositis
CK was noted near the DM context along with heliotrope.,DM,Dermatomyositis
The DM indicated heliotrope and myositis during evaluation.,DM,Dermatomyositis
proximal‑weakness was noted near the DM context along with CK.,DM,Dermatomyositis
The DM indicated myositis and heliotrope during evaluation.,DM,Dermatomyositis
Clinicians discussed myositis and heliotrope when referring to DM.,DM,Dermatomyositis
CK was noted near the DM context along with heliotrope.,DM,Dermatomyositis
heliotrope was noted near the DM context along with CK.,DM,Dermatomyositis
Clinicians discussed CK and myositis when referring to DM.,DM,Dermatomyositis
The DM indicated myositis and CK during evaluation.,DM,Dermatomyositis
Assessment showed CK; DM signified presence of proximal‑weakness.,DM,Dermatomyositis
The DM indicated myositis and heliotrope during evaluation.,DM,Dermatomyositis
DM related findings such as heliotrope plus proximal‑weakness were documented.,DM,Dermatomyositis
DM related findings such as myositis plus proximal‑weakness were documented.,DM,Dermatomyositis
DM related findings such as CK plus heliotrope were documented.,DM,Dermatomyositis
The DM indicated myositis and heliotrope during evaluation.,DM,Dermatomyositis
proximal‑weakness was noted near the DM context along with CK.,DM,Dermatomyositis
The DM indicated proximal‑weakness and myositis during evaluation.,DM,Dermatomyositis
DM related findings such as heliotrope plus CK were documented.,DM,Dermatomyositis
Clinicians discussed proximal‑weakness and CK when referring to DM.,DM,Dermatomyositis
Clinicians discussed proximal‑weakness and heliotrope when referring to DM.,DM,Dermatomyositis
Assessment showed myositis; DM signified presence of CK.,DM,Dermatomyositis
DM related findings such as heliotrope plus myositis were documented.,DM,Dermatomyositis
CK was noted near the DM context along with proximal‑weakness.,DM,Dermatomyositis
Clinicians discussed myositis and proximal‑weakness when referring to DM.,DM,Dermatomyositis
Assessment showed myositis; DM signified presence of heliotrope.,DM,Dermatomyositis
Clinicians discussed proximal‑weakness and heliotrope when referring to DM.,DM,Dermatomyositis
Assessment showed proximal‑weakness; DM signified presence of CK.,DM,Dermatomyositis
myositis was noted near the DM context along with CK.,DM,Dermatomyositis
proximal‑weakness was noted near the DM context along with CK.,DM,Dermatomyositis
Assessment showed heliotrope; DM signified presence of myositis.,DM,Dermatomyositis
Clinicians discussed proximal‑weakness and heliotrope when referring to DM.,DM,Dermatomyositis
heliotrope was noted near the DM context along with proximal‑weakness.,DM,Dermatomyositis
heliotrope was noted near the DM context along with proximal‑weakness.,DM,Dermatomyositis
DM related findings such as CK plus proximal‑weakness were documented.,DM,Dermatomyositis
Clinicians discussed myositis and proximal‑weakness when referring to DM.,DM,Dermatomyositis
The DM indicated proximal‑weakness and heliotrope during evaluation.,DM,Dermatomyositis
DM related findings such as myositis plus heliotrope were documented.,DM,Dermatomyositis
Clinicians discussed proximal‑weakness and CK when referring to DM.,DM,Dermatomyositis
Clinicians discussed CK and proximal‑weakness when referring to DM.,DM,Dermatomyositis
The DM indicated CK and myositis during evaluation.,DM,Dermatomyositis
DM related findings such as myositis plus proximal‑weakness were documented.,DM,Dermatomyositis
The DM indicated proximal‑weakness and heliotrope during evaluation.,DM,Dermatomyositis
The DM indicated CK and heliotrope during evaluation.,DM,Dermatomyositis
CK was noted near the DM context along with heliotrope.,DM,Dermatomyositis
Assessment showed CK; DM signified presence of heliotrope.,DM,Dermatomyositis
The DM indicated proximal‑weakness and CK during evaluation.,DM,Dermatomyositis
Clinicians discussed myositis and CK when referring to DM.,DM,Dermatomyositis
Assessment showed myositis; DM signified presence of CK.,DM,Dermatomyositis
Assessment showed proximal‑weakness; DM signified presence of myositis.,DM,Dermatomyositis
DM related findings such as heliotrope plus proximal‑weakness were documented.,DM,Dermatomyositis
DM related findings such as myositis plus proximal‑weakness were documented.,DM,Dermatomyositis
DM related findings such as CK plus proximal‑weakness were documented.,DM,Dermatomyositis
CK was noted near the DM context along with proximal‑weakness.,DM,Dermatomyositis
CK was noted near the DM context along with heliotrope.,DM,Dermatomyositis
DM related findings such as heliotrope plus myositis were documented.,DM,Dermatomyositis
The DM indicated heliotrope and proximal‑weakness during evaluation.,DM,Dermatomyositis
DM related findings such as heliotrope plus myositis were documented.,DM,Dermatomyositis
Assessment showed myositis; DM signified presence of proximal‑weakness.,DM,Dermatomyositis
Clinicians discussed CK and heliotrope when referring to DM.,DM,Dermatomyositis
CK was noted near the DM context along with proximal‑weakness.,DM,Dermatomyositis
CK was noted near the DM context along with proximal‑weakness.,DM,Dermatomyositis
Clinicians discussed proximal‑weakness and myositis when referring to DM.,DM,Dermatomyositis
The DM indicated proximal‑weakness and heliotrope during evaluation.,DM,Dermatomyositis
Clinicians discussed CK and heliotrope when referring to DM.,DM,Dermatomyositis
Assessment showed myositis; DM signified presence of CK.,DM,Dermatomyositis
The DM indicated proximal‑weakness and CK during evaluation.,DM,Dermatomyositis
Assessment showed CK; DM signified presence of heliotrope.,DM,Dermatomyositis
The DM indicated heliotrope and myositis during evaluation.,DM,Dermatomyositis
myositis was noted near the DM context along with proximal‑weakness.,DM,Dermatomyositis
Assessment showed proximal‑weakness; DM signified presence of myositis.,DM,Dermatomyositis
Clinicians discussed proximal‑weakness and heliotrope when referring to DM.,DM,Dermatomyositis
Assessment showed CK; DM signified presence of heliotrope.,DM,Dermatomyositis
Clinicians discussed proximal‑weakness and CK when referring to DM.,DM,Dermatomyositis
The DM indicated CK and heliotrope during evaluation.,DM,Dermatomyositis
Clinicians discussed CK and myositis when referring to DM.,DM,Dermatomyositis
The DM indicated myositis and CK during evaluation.,DM,Dermatomyositis
DM related findings such as myositis plus proximal‑weakness were documented.,DM,Dermatomyositis
Assessment showed CK; DM signified presence of heliotrope.,DM,Dermatomyositis
Assessment showed heliotrope; DM signified presence of proximal‑weakness.,DM,Dermatomyositis
DM related findings such as myositis plus heliotrope were documented.,DM,Dermatomyositis
Assessment showed CK; DM signified presence of proximal‑weakness.,DM,Dermatomyositis
heliotrope was noted near the DM context along with myositis.,DM,Dermatomyositis
Clinicians discussed proximal‑weakness and CK when referring to DM.,DM,Dermatomyositis
The DM indicated CK and proximal‑weakness during evaluation.,DM,Dermatomyositis
The DM indicated proximal‑weakness and myositis during evaluation.,DM,Dermatomyositis
Clinicians discussed myositis and heliotrope when referring to DM.,DM,Dermatomyositis
proximal‑weakness was noted near the DM context along with CK.,DM,Dermatomyositis
Assessment showed heliotrope; DM signified presence of proximal‑weakness.,DM,Dermatomyositis
myositis was noted near the DM context along with CK.,DM,Dermatomyositis
DM related findings such as myositis plus heliotrope were documented.,DM,Dermatomyositis
DM related findings such as proximal‑weakness plus CK were documented.,DM,Dermatomyositis
CK was noted near the DM context along with myositis.,DM,Dermatomyositis
Assessment showed proximal‑weakness; DM signified presence of CK.,DM,Dermatomyositis
DM related findings such as myositis plus heliotrope were documented.,DM,Dermatomyositis
Assessment showed myositis; DM signified presence of CK.,DM,Dermatomyositis
DM related findings such as proximal‑weakness plus heliotrope were documented.,DM,Dermatomyositis
CK was noted near the DM context along with heliotrope.,DM,Dermatomyositis
heliotrope was noted near the DM context along with proximal‑weakness.,DM,Dermatomyositis
Clinicians discussed CK and proximal‑weakness when referring to DM.,DM,Dermatomyositis
Assessment showed heliotrope; DM signified presence of myositis.,DM,Dermatomyositis
The DM indicated myositis and proximal‑weakness during evaluation.,DM,Dermatomyositis
DM related findings such as heliotrope plus proximal‑weakness were documented.,DM,Dermatomyositis
DM related findings such as proximal‑weakness plus heliotrope were documented.,DM,Dermatomyositis
proximal‑weakness was noted near the DM context along with myositis.,DM,Dermatomyositis
Clinicians discussed CK and heliotrope when referring to DM.,DM,Dermatomyositis
The DM indicated myositis and proximal‑weakness during evaluation.,DM,Dermatomyositis
The DM indicated CK and proximal‑weakness during evaluation.,DM,Dermatomyositis
Clinicians discussed CK and heliotrope when referring to DM.,DM,Dermatomyositis
The DM indicated myositis and heliotrope during evaluation.,DM,Dermatomyositis
DM related findings such as CK plus proximal‑weakness were documented.,DM,Dermatomyositis
Clinicians discussed myositis and CK when referring to DM.,DM,Dermatomyositis
Clinicians discussed heliotrope and proximal‑weakness when referring to DM.,DM,Dermatomyositis
Clinicians discussed coagulation and bleeding when referring to PT.,PT,Prothrombin Time
Clinicians discussed bleeding and INR when referring to PT.,PT,Prothrombin Time
Clinicians discussed coagulation and INR when referring to PT.,PT,Prothrombin Time
Assessment showed warfarin; PT signified presence of INR.,PT,Prothrombin Time
Assessment showed warfarin; PT signified presence of coagulation.,PT,Prothrombin Time
PT related findings such as coagulation plus bleeding were documented.,PT,Prothrombin Time
PT related findings such as warfarin plus coagulation were documented.,PT,Prothrombin Time
The PT indicated INR and bleeding during evaluation.,PT,Prothrombin Time
INR was noted near the PT context along with warfarin.,PT,Prothrombin Time
The PT indicated bleeding and warfarin during evaluation.,PT,Prothrombin Time
warfarin was noted near the PT context along with coagulation.,PT,Prothrombin Time
PT related findings such as warfarin plus INR were documented.,PT,Prothrombin Time
PT related findings such as bleeding plus coagulation were documented.,PT,Prothrombin Time
Assessment showed bleeding; PT signified presence of coagulation.,PT,Prothrombin Time
Clinicians discussed INR and warfarin when referring to PT.,PT,Prothrombin Time
Clinicians discussed coagulation and INR when referring to PT.,PT,Prothrombin Time
Assessment showed warfarin; PT signified presence of bleeding.,PT,Prothrombin Time
Assessment showed coagulation; PT signified presence of bleeding.,PT,Prothrombin Time
PT related findings such as INR plus coagulation were documented.,PT,Prothrombin Time
The PT indicated warfarin and coagulation during evaluation.,PT,Prothrombin Time
Assessment showed INR; PT signified presence of warfarin.,PT,Prothrombin Time
INR was noted near the PT context along with bleeding.,PT,Prothrombin Time
Assessment showed warfarin; PT signified presence of INR.,PT,Prothrombin Time
INR was noted near the PT context along with bleeding.,PT,Prothrombin Time
Clinicians discussed coagulation and warfarin when referring to PT.,PT,Prothrombin Time
Assessment showed warfarin; PT signified presence of bleeding.,PT,Prothrombin Time
The PT indicated coagulation and bleeding during evaluation.,PT,Prothrombin Time
Assessment showed warfarin; PT signified presence of INR.,PT,Prothrombin Time
PT related findings such as bleeding plus coagulation were documented.,PT,Prothrombin Time
Clinicians discussed coagulation and warfarin when referring to PT.,PT,Prothrombin Time
PT related findings such as INR plus warfarin were documented.,PT,Prothrombin Time
The PT indicated warfarin and INR during evaluation.,PT,Prothrombin Time
Assessment showed INR; PT signified presence of warfarin.,PT,Prothrombin Time
Clinicians discussed warfarin and coagulation when referring to PT.,PT,Prothrombin Time
warfarin was noted near the PT context along with bleeding.,PT,Prothrombin Time
PT related findings such as INR plus coagulation were documented.,PT,Prothrombin Time
The PT indicated coagulation and INR during evaluation.,PT,Prothrombin Time
Assessment showed coagulation; PT signified presence of bleeding.,PT,Prothrombin Time
INR was noted near the PT context along with warfarin.,PT,Prothrombin Time
bleeding was noted near the PT context along with warfarin.,PT,Prothrombin Time
Clinicians discussed coagulation and bleeding when referring to PT.,PT,Prothrombin Time
Assessment showed bleeding; PT signified presence of warfarin.,PT,Prothrombin Time
Assessment showed bleeding; PT signified presence of INR.,PT,Prothrombin Time
PT related findings such as INR plus coagulation were documented.,PT,Prothrombin Time
Assessment showed INR; PT signified presence of warfarin.,PT,Prothrombin Time
Clinicians discussed coagulation and INR when referring to PT.,PT,Prothrombin Time
PT related findings such as bleeding plus coagulation were documented.,PT,Prothrombin Time
The PT indicated warfarin and coagulation during evaluation.,PT,Prothrombin Time
Clinicians discussed coagulation and warfarin when referring to PT.,PT,Prothrombin Time
Assessment showed INR; PT signified presence of bleeding.,PT,Prothrombin Time
PT related findings such as warfarin plus INR were documented.,PT,Prothrombin Time
Assessment showed bleeding; PT signified presence of warfarin.,PT,Prothrombin Time
Assessment showed bleeding; PT signified presence of warfarin.,PT,Prothrombin Time
coagulation was noted near the PT context along with INR.,PT,Prothrombin Time
The PT indicated warfarin and INR during evaluation.,PT,Prothrombin Time
Clinicians discussed INR and warfarin when referring to PT.,PT,Prothrombin Time
INR was noted near the PT context along with warfarin.,PT,Prothrombin Time
Assessment showed coagulation; PT signified presence of warfarin.,PT,Prothrombin Time
Assessment showed bleeding; PT signified presence of coagulation.,PT,Prothrombin Time
The PT indicated INR and coagulation during evaluation.,PT,Prothrombin Time
Assessment showed INR; PT signified presence of coagulation.,PT,Prothrombin Time
Assessment showed warfarin; PT signified presence of bleeding.,PT,Prothrombin Time
Clinicians discussed coagulation and warfarin when referring to PT.,PT,Prothrombin Time
bleeding was noted near the PT context along with warfarin.,PT,Prothrombin Time
Assessment showed warfarin; PT signified presence of bleeding.,PT,Prothrombin Time
Assessment showed coagulation; PT signified presence of INR.,PT,Prothrombin Time
Assessment showed bleeding; PT signified presence of INR.,PT,Prothrombin Time
Clinicians discussed coagulation and warfarin when referring to PT.,PT,Prothrombin Time
Clinicians discussed warfarin and INR when referring to PT.,PT,Prothrombin Time
Clinicians discussed warfarin and coagulation when referring to PT.,PT,Prothrombin Time
INR was noted near the PT context along with coagulation.,PT,Prothrombin Time
warfarin was noted near the PT context along with INR.,PT,Prothrombin Time
The PT indicated warfarin and coagulation during evaluation.,PT,Prothrombin Time
coagulation was noted near the PT context along with INR.,PT,Prothrombin Time
INR was noted near the PT context along with warfarin.,PT,Prothrombin Time
warfarin was noted near the PT context along with INR.,PT,Prothrombin Time
Clinicians discussed bleeding and coagulation when referring to PT.,PT,Prothrombin Time
PT related findings such as coagulation plus warfarin were documented.,PT,Prothrombin Time
The PT indicated coagulation and warfarin during evaluation.,PT,Prothrombin Time
INR was noted near the PT context along with bleeding.,PT,Prothrombin Time
Clinicians discussed bleeding and coagulation when referring to PT.,PT,Prothrombin Time
Clinicians discussed warfarin and bleeding when referring to PT.,PT,Prothrombin Time
PT related findings such as bleeding plus INR were documented.,PT,Prothrombin Time
PT related findings such as INR plus warfarin were documented.,PT,Prothrombin Time
INR was noted near the PT context along with coagulation.,PT,Prothrombin Time
INR was noted near the PT context along with warfarin.,PT,Prothrombin Time
Assessment showed bleeding; PT signified presence of INR.,PT,Prothrombin Time
Clinicians discussed coagulation and bleeding when referring to PT.,PT,Prothrombin Time
The PT indicated bleeding and INR during evaluation.,PT,Prothrombin Time
PT related findings such as warfarin plus coagulation were documented.,PT,Prothrombin Time
The PT indicated INR and bleeding during evaluation.,PT,Prothrombin Time
PT related findings such as bleeding plus warfarin were documented.,PT,Prothrombin Time
PT related findings such as warfarin plus coagulation were documented.,PT,Prothrombin Time
The PT indicated warfarin and coagulation during evaluation.,PT,Prothrombin Time
INR was noted near the PT context along with warfarin.,PT,Prothrombin Time
INR was noted near the PT context along with warfarin.,PT,Prothrombin Time
Clinicians discussed INR and warfarin when referring to PT.,PT,Prothrombin Time
The PT indicated INR and warfarin during evaluation.,PT,Prothrombin Time
Clinicians discussed INR and coagulation when referring to PT.,PT,Prothrombin Time
warfarin was noted near the PT context along with bleeding.,PT,Prothrombin Time
The PT indicated INR and warfarin during evaluation.,PT,Prothrombin Time
warfarin was noted near the PT context along with coagulation.,PT,Prothrombin Time
Assessment showed warfarin; PT signified presence of bleeding.,PT,Prothrombin Time
Assessment showed INR; PT signified presence of warfarin.,PT,Prothrombin Time
Clinicians discussed coagulation and INR when referring to PT.,PT,Prothrombin Time
coagulation was noted near the PT context along with INR.,PT,Prothrombin Time
The PT indicated bleeding and warfarin during evaluation.,PT,Prothrombin Time
coagulation was noted near the PT context along with INR.,PT,Prothrombin Time
The PT indicated coagulation and INR during evaluation.,PT,Prothrombin Time
Clinicians discussed warfarin and coagulation when referring to PT.,PT,Prothrombin Time
coagulation was noted near the PT context along with bleeding.,PT,Prothrombin Time
The PT indicated coagulation and warfarin during evaluation.,PT,Prothrombin Time
warfarin was noted near the PT context along with INR.,PT,Prothrombin Time
INR was noted near the PT context along with bleeding.,PT,Prothrombin Time
PT related findings such as coagulation plus INR were documented.,PT,Prothrombin Time
PT related findings such as bleeding plus coagulation were documented.,PT,Prothrombin Time
warfarin was noted near the PT context along with coagulation.,PT,Prothrombin Time
The PT indicated INR and warfarin during evaluation.,PT,Prothrombin Time
PT related findings such as bleeding plus INR were documented.,PT,Prothrombin Time
Clinicians discussed bleeding and coagulation when referring to PT.,PT,Prothrombin Time
Assessment showed coagulation; PT signified presence of bleeding.,PT,Prothrombin Time
PT related findings such as warfarin plus bleeding were documented.,PT,Prothrombin Time
INR was noted near the PT context along with warfarin.,PT,Prothrombin Time
Clinicians discussed warfarin and bleeding when referring to PT.,PT,Prothrombin Time
Clinicians discussed INR and coagulation when referring to PT.,PT,Prothrombin Time
bleeding was noted near the PT context along with INR.,PT,Prothrombin Time
PT related findings such as INR plus coagulation were documented.,PT,Prothrombin Time
PT related findings such as bleeding plus INR were documented.,PT,Prothrombin Time
Clinicians discussed warfarin and INR when referring to PT.,PT,Prothrombin Time
The PT indicated coagulation and warfarin during evaluation.,PT,Prothrombin Time
PT related findings such as bleeding plus INR were documented.,PT,Prothrombin Time
Assessment showed warfarin; PT signified presence of bleeding.,PT,Prothrombin Time
Clinicians discussed INR and bleeding when referring to PT.,PT,Prothrombin Time
PT related findings such as bleeding plus coagulation were documented.,PT,Prothrombin Time
Clinicians discussed coagulation and warfarin when referring to PT.,PT,Prothrombin Time
The PT indicated INR and warfarin during evaluation.,PT,Prothrombin Time
coagulation was noted near the PT context along with INR.,PT,Prothrombin Time
Assessment showed bleeding; PT signified presence of warfarin.,PT,Prothrombin Time
The PT indicated bleeding and INR during evaluation.,PT,Prothrombin Time
The PT indicated warfarin and bleeding during evaluation.,PT,Prothrombin Time
PT related findings such as bleeding plus warfarin were documented.,PT,Prothrombin Time
warfarin was noted near the PT context along with coagulation.,PT,Prothrombin Time
PT related findings such as coagulation plus INR were documented.,PT,Prothrombin Time
Clinicians discussed INR and coagulation when referring to PT.,PT,Prothrombin Time
The PT indicated warfarin and coagulation during evaluation.,PT,Prothrombin Time
PT related findings such as bleeding plus INR were documented.,PT,Prothrombin Time
Clinicians discussed INR and coagulation when referring to PT.,PT,Prothrombin Time
INR was noted near the PT context along with warfarin.,PT,Prothrombin Time
Clinicians discussed warfarin and coagulation when referring to PT.,PT,Prothrombin Time
Assessment showed bleeding; PT signified presence of warfarin.,PT,Prothrombin Time
PT related findings such as bleeding plus INR were documented.,PT,Prothrombin Time
Clinicians discussed coagulation and bleeding when referring to PT.,PT,Prothrombin Time
coagulation was noted near the PT context along with INR.,PT,Prothrombin Time
bleeding was noted near the PT context along with INR.,PT,Prothrombin Time
Assessment showed INR; PT signified presence of bleeding.,PT,Prothrombin Time
Assessment showed warfarin; PT signified presence of INR.,PT,Prothrombin Time
The PT indicated warfarin and INR during evaluation.,PT,Prothrombin Time
Clinicians discussed INR and coagulation when referring to PT.,PT,Prothrombin Time
The PT indicated coagulation and warfarin during evaluation.,PT,Prothrombin Time
coagulation was noted near the PT context along with INR.,PT,Prothrombin Time
The PT indicated therapist and exercise during evaluation.,PT,Physical Therapy
Assessment showed rehabilitation; PT signified presence of mobility.,PT,Physical Therapy
Clinicians discussed mobility and exercise when referring to PT.,PT,Physical Therapy
PT related findings such as exercise plus rehabilitation were documented.,PT,Physical Therapy
therapist was noted near the PT context along with mobility.,PT,Physical Therapy
The PT indicated exercise and mobility during evaluation.,PT,Physical Therapy
Assessment showed exercise; PT signified presence of rehabilitation.,PT,Physical Therapy
PT related findings such as therapist plus mobility were documented.,PT,Physical Therapy
PT related findings such as exercise plus rehabilitation were documented.,PT,Physical Therapy
PT related findings such as mobility plus therapist were documented.,PT,Physical Therapy
Assessment showed rehabilitation; PT signified presence of mobility.,PT,Physical Therapy
PT related findings such as therapist plus rehabilitation were documented.,PT,Physical Therapy
Clinicians discussed mobility and therapist when referring to PT.,PT,Physical Therapy
PT related findings such as mobility plus therapist were documented.,PT,Physical Therapy
Clinicians discussed rehabilitation and mobility when referring to PT.,PT,Physical Therapy
The PT indicated rehabilitation and therapist during evaluation.,PT,Physical Therapy
The PT indicated therapist and exercise during evaluation.,PT,Physical Therapy
Assessment showed mobility; PT signified presence of therapist.,PT,Physical Therapy
PT related findings such as therapist plus mobility were documented.,PT,Physical Therapy
Clinicians discussed mobility and therapist when referring to PT.,PT,Physical Therapy
Assessment showed exercise; PT signified presence of rehabilitation.,PT,Physical Therapy
PT related findings such as exercise plus mobility were documented.,PT,Physical Therapy
PT related findings such as exercise plus mobility were documented.,PT,Physical Therapy
Assessment showed exercise; PT signified presence of mobility.,PT,Physical Therapy
Clinicians discussed rehabilitation and mobility when referring to PT.,PT,Physical Therapy
PT related findings such as therapist plus mobility were documented.,PT,Physical Therapy
PT related findings such as rehabilitation plus exercise were documented.,PT,Physical Therapy
The PT indicated exercise and mobility during evaluation.,PT,Physical Therapy
The PT indicated mobility and rehabilitation during evaluation.,PT,Physical Therapy
Assessment showed rehabilitation; PT signified presence of mobility.,PT,Physical Therapy
The PT indicated mobility and therapist during evaluation.,PT,Physical Therapy
PT related findings such as therapist plus exercise were documented.,PT,Physical Therapy
The PT indicated exercise and therapist during evaluation.,PT,Physical Therapy
PT related findings such as mobility plus therapist were documented.,PT,Physical Therapy
The PT indicated exercise and rehabilitation during evaluation.,PT,Physical Therapy
Clinicians discussed therapist and mobility when referring to PT.,PT,Physical Therapy
The PT indicated mobility and therapist during evaluation.,PT,Physical Therapy
Assessment showed therapist; PT signified presence of mobility.,PT,Physical Therapy
Assessment showed mobility; PT signified presence of therapist.,PT,Physical Therapy
rehabilitation was noted near the PT context along with mobility.,PT,Physical Therapy
PT related findings such as mobility plus therapist were documented.,PT,Physical Therapy
Assessment showed exercise; PT signified presence of therapist.,PT,Physical Therapy
Assessment showed rehabilitation; PT signified presence of therapist.,PT,Physical Therapy
Assessment showed therapist; PT signified presence of mobility.,PT,Physical Therapy
PT related findings such as exercise plus mobility were documented.,PT,Physical Therapy
Clinicians discussed mobility and therapist when referring to PT.,PT,Physical Therapy
PT related findings such as therapist plus mobility were documented.,PT,Physical Therapy
The PT indicated mobility and exercise during evaluation.,PT,Physical Therapy
Assessment showed therapist; PT signified presence of exercise.,PT,Physical Therapy
The PT indicated exercise and therapist during evaluation.,PT,Physical Therapy
The PT indicated exercise and rehabilitation during evaluation.,PT,Physical Therapy
therapist was noted near the PT context along with mobility.,PT,Physical Therapy
PT related findings such as exercise plus rehabilitation were documented.,PT,Physical Therapy
The PT indicated rehabilitation and exercise during evaluation.,PT,Physical Therapy
PT related findings such as rehabilitation plus therapist were documented.,PT,Physical Therapy
Assessment showed rehabilitation; PT signified presence of exercise.,PT,Physical Therapy
The PT indicated mobility and therapist during evaluation.,PT,Physical Therapy
Assessment showed rehabilitation; PT signified presence of exercise.,PT,Physical Therapy
The PT indicated rehabilitation and therapist during evaluation.,PT,Physical Therapy
Assessment showed exercise; PT signified presence of therapist.,PT,Physical Therapy
Clinicians discussed rehabilitation and mobility when referring to PT.,PT,Physical Therapy
PT related findings such as mobility plus exercise were documented.,PT,Physical Therapy
PT related findings such as therapist plus mobility were documented.,PT,Physical Therapy
The PT indicated rehabilitation and mobility during evaluation.,PT,Physical Therapy
exercise was noted near the PT context along with therapist.,PT,Physical Therapy
The PT indicated exercise and rehabilitation during evaluation.,PT,Physical Therapy
PT related findings such as therapist plus exercise were documented.,PT,Physical Therapy
rehabilitation was noted near the PT context along with exercise.,PT,Physical Therapy
Clinicians discussed exercise and mobility when referring to PT.,PT,Physical Therapy
rehabilitation was noted near the PT context along with exercise.,PT,Physical Therapy
Clinicians discussed therapist and rehabilitation when referring to PT.,PT,Physical Therapy
The PT indicated rehabilitation and exercise during evaluation.,PT,Physical Therapy
Clinicians discussed therapist and mobility when referring to PT.,PT,Physical Therapy
The PT indicated exercise and rehabilitation during evaluation.,PT,Physical Therapy
therapist was noted near the PT context along with exercise.,PT,Physical Therapy
The PT indicated mobility and therapist during evaluation.,PT,Physical Therapy
The PT indicated rehabilitation and exercise during evaluation.,PT,Physical Therapy
Assessment showed therapist; PT signified presence of rehabilitation.,PT,Physical Therapy
Clinicians discussed mobility and exercise when referring to PT.,PT,Physical Therapy
The PT indicated exercise and therapist during evaluation.,PT,Physical Therapy
Assessment showed exercise; PT signified presence of therapist.,PT,Physical Therapy
Clinicians discussed rehabilitation and therapist when referring to PT.,PT,Physical Therapy
Assessment showed rehabilitation; PT signified presence of therapist.,PT,Physical Therapy
mobility was noted near the PT context along with rehabilitation.,PT,Physical Therapy
Assessment showed therapist; PT signified presence of rehabilitation.,PT,Physical Therapy
PT related findings such as therapist plus rehabilitation were documented.,PT,Physical Therapy
Assessment showed exercise; PT signified presence of rehabilitation.,PT,Physical Therapy
Assessment showed therapist; PT signified presence of exercise.,PT,Physical Therapy
PT related findings such as exercise plus mobility were documented.,PT,Physical Therapy
PT related findings such as rehabilitation plus therapist were documented.,PT,Physical Therapy
Clinicians discussed exercise and therapist when referring to PT.,PT,Physical Therapy
The PT indicated exercise and mobility during evaluation.,PT,Physical Therapy
Clinicians discussed therapist and mobility when referring to PT.,PT,Physical Therapy
